Date,Open,High,Low,Close,Volume
2021-10-01,164.3,164.94,163.93,164.585,39892
2021-10-04,163.605,165.51,163.515,165.38,28531
2021-10-05,163.99,164.835,163.615,164.585,58529
2021-10-06,164.27,165.055,164.165,165.03,34515
2021-10-07,164.09,164.8,164.07,164.13,26521
2021-10-08,166.35,166.35,164.22,164.25,47881
2021-10-11,164.02,164.58,163.92,163.92,29339
2021-10-12,164.45,165.405,164.42,164.68,27343
2021-10-13,165.64,167.89,165.64,167.56,132164
2021-10-14,168.195,168.21,167.81,167.985,48128
2021-10-15,165.14,166.06,165.105,165.32,100200
2021-10-18,165.22,165.57,164.91,164.92,17928
2021-10-19,166.37,166.41,165.21,165.47,60285
2021-10-20,166.17,167.1,166.16,166.92,40880
2021-10-21,166.765,166.87,166.25,166.8,42743
2021-10-22,168.68,169.42,166.8,167.725,72314
2021-10-25,168.61,169.15,168.61,168.92,41237
2021-10-26,167.575,167.82,166.74,167.66,44460
2021-10-27,167.97,168.19,166.9,168.12,48078
2021-10-28,168.8,168.8,167.57,168.105,17610
2021-10-29,166.23,166.71,165.645,166.63,42377
2021-11-01,167.205,167.84,167.205,167.56,39872
2021-11-02,167.31,167.435,166.97,167.125,20806
2021-11-03,165.37,165.89,164.45,165.77,85125
2021-11-04,167.49,168.11,167.46,167.655,38692
2021-11-05,168.37,169.935,167.905,169.82,91879
2021-11-08,170.4,170.69,170.11,170.47,55341
2021-11-09,170.77,171.295,170.17,171.275,57760
2021-11-10,173.64,174.62,172.21,173.16,98932
2021-11-11,173.98,174.24,173.82,174.11,30616
2021-11-12,173.67,174.645,173.64,174.44,76325
2021-11-15,174.095,174.585,173.755,174.15,47945
2021-11-16,173.99,174.425,172.87,172.94,79199
2021-11-17,174.22,174.575,173.89,174.485,37890
2021-11-18,174.23,174.3,173.55,173.95,84233
2021-11-19,173.89,174.07,172.25,172.61,90033
2021-11-22,169.81,170.28,168.44,168.735,114154
2021-11-23,167.49,167.53,166.54,167.33,73255
2021-11-24,166.63,167.42,166.37,167.11,38473
2021-11-26,168.49,168.49,166.37,166.89,32639
2021-11-29,166.82,167.17,166.42,166.66,43655
2021-11-30,167.84,168.99,165.48,165.495,93734
2021-12-01,166.7,167.4,166.08,166.15,74626
2021-12-02,165.615,165.705,164.655,165.205,79403
2021-12-03,165.4,166.91,165.16,166.56,79209
2021-12-06,166.19,166.76,165.96,166.23,47327
2021-12-07,166.28,167.065,166.21,166.825,34341
2021-12-08,166.43,166.94,166.32,166.86,31758
2021-12-09,165.85,166.385,165.675,165.88,79680
2021-12-10,166.71,166.905,166.2,166.58,88034
2021-12-13,166.86,167.255,166.68,166.965,61273
2021-12-14,165.22,166.08,165.22,165.44,113465
2021-12-15,164.96,166.33,163.97,166.14,141313
2021-12-16,167.045,168.125,167.045,168.11,107600
2021-12-17,168.7,169.0,167.79,167.79,62363
2021-12-20,167.835,167.93,167.07,167.08,85110
2021-12-21,167.67,167.72,166.79,167.04,49636
2021-12-22,167.59,168.62,167.13,168.62,56627
2021-12-23,168.695,169.145,168.03,168.97,37107
2021-12-27,169.0,169.41,168.81,169.35,36971
2021-12-28,169.55,169.65,168.635,168.65,25736
2021-12-29,167.3,168.68,167.3,168.59,34094
2021-12-30,168.47,169.795,168.47,169.795,29471
2021-12-31,170.29,171.025,170.16,170.94,55247
2022-01-03,168.84,168.955,168.02,168.33,85431
2022-01-04,168.845,169.68,168.75,169.59,69741
2022-01-05,170.625,170.9,168.91,169.07,70979
2022-01-06,167.205,167.7,166.89,167.03,91825
2022-01-07,167.18,167.995,166.89,167.72,65217
2022-01-10,167.46,168.27,167.4,168.23,59140
2022-01-11,168.545,170.31,168.425,170.29,100455
2022-01-12,170.265,170.75,170.04,170.71,90123
2022-01-13,170.09,170.21,169.27,170.165,90042
2022-01-14,170.03,170.56,169.49,169.68,91047
2022-01-18,169.51,170.0,169.095,169.395,81023
2022-01-19,170.355,172.175,170.335,172.09,207458
2022-01-20,172.27,172.56,171.6,171.66,87886
2022-01-21,172.055,172.11,170.75,171.08,114633
2022-01-24,171.63,172.14,170.89,172.01,159748
2022-01-25,171.9,173.14,171.79,172.575,144892
2022-01-26,171.35,171.66,169.54,169.74,144632
2022-01-27,168.075,169.06,167.35,167.61,161998
2022-01-28,166.8,167.46,166.39,167.06,111393
2022-01-31,167.89,168.11,167.525,168.09,58067
2022-02-01,168.55,168.84,168.03,168.21,71938
2022-02-02,168.55,169.1,168.17,168.79,61098
2022-02-03,168.25,168.8,167.04,168.61,77708
2022-02-04,168.07,169.09,168.07,168.825,66556
2022-02-07,169.435,170.28,169.23,170.09,91405
2022-02-08,170.04,170.75,170.0,170.61,70835
2022-02-09,170.7,171.41,170.56,171.195,100708
2022-02-10,170.56,171.99,170.53,170.54,142093
2022-02-11,170.745,174.19,170.745,173.82,319389
2022-02-14,173.765,174.95,173.71,174.77,199732
